,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
97,0.944923076923077,316.73974358974357,0.13567077225936122,37.591,0.9327365592831084,259.5397688,53.10882956878845,2.857385703,10.0,10.721140819960885,0.02625641025645109,79.28426765450205,6.12,5.168509991963704,-0.030241000417646113,-0.8675137029199465,1.575083879018023,2.4142039134256876,1.725166730388865,1.030241000417646
98,0.944923076923077,319.30384615384617,0.09281399446261915,63.568,0.6380962119305067,1072.275783,32.06570841889106,5.924933873,10.0,15.671617873652373,0.22015384615383482,80.99172556779689,6.19,5.344193383057912,-0.1951138335668598,-1.03238653606916,1.8032385477112876,3.0303064976996437,1.5060408391079807,1.1951138335668599
99,0.944923076923077,321.8679487179487,0.06106533991371464,99.893,0.41982421190678815,1220.184073,33.06776180698148,6.765752717000001,10.0,23.819493293588934,0.27805128205130814,82.91078317165375,6.25,5.527385544776917,-0.3769325186018849,-1.2142052211041852,1.9995350561150018,3.0864253518698117,1.5194048006659633,1.3769325186018848
100,0.944923076923077,324.43205128205125,0.04719433120845992,146.204,0.32446102705816193,1248.742462,35.07186858316231,7.28893578,10.0,30.820342555987253,0.2219487179487487,84.68309622288885,6.31,5.703387097517649,-0.4888374614216037,-1.326110163923904,2.1649592546612646,3.0964728796350913,1.5449589051383532,1.4888374614216038
101,0.944923076923077,326.99615384615385,0.03830261942037808,208.863,0.2633305085150993,1242.051163,36.0739219712525,7.674153824,10.0,37.97509090909838,0.34984615384615836,86.26702405246698,6.38,5.878910632928212,-0.5794988221996697,-1.41677152470197,2.319861511693828,3.0941394858171543,1.5571933615553628,1.5794988221996697
102,0.944923076923077,329.5602564102564,0.03502304147465425,271.25,0.24078341013824797,1224.078857,38.07802874743311,7.899949942,10.0,41.53110047846905,0.050743589743603934,87.97498026400126,6.44,6.055567260583242,-0.6183734390654395,-1.4556461415677397,2.433369746856586,3.0878093966141247,1.5806744574048848,1.6183734390654394
103,0.944923076923077,332.124358974359,0.02944697746821876,361.667,0.20244797009400398,1218.532772,39.08008213552375,8.083649869,10.0,49.39540759710574,0.3716410256409972,89.525701716313,6.5,6.223711884021759,-0.6936865734591269,-1.5309592759614272,2.5583088837361134,3.085837213871476,1.591955467814577,1.6936865734591269
104,0.944923076923077,334.6884615384615,0.02872194044538852,449.134,0.19746334056204606,1255.559129,39.080082135523526,8.162439036,10.0,50.64231148696607,0.3685384615384919,90.79501942890447,6.56,6.374307870864868,-0.7045135201357616,-1.5417862226380619,2.6523759329372814,3.098837170090551,1.5919554678145744,1.7045135201357615
105,0.944923076923077,337.25256410256407,0.028167976876482904,543.17,0.19365484102581995,1374.03268,37.07597535934292,8.154754428,10.0,51.63826500297352,0.47643589743591974,91.98616646136881,6.62,6.521186784903208,-0.7129716419543166,-1.5502443444566167,2.7349357752741934,3.1379970621084565,1.5690925848550714,1.7129716419543164
106,0.944923076923077,339.81666666666666,0.029795235637976487,625.939,0.20484224501108833,1589.932712,34.0698151950719,8.037572614,10.0,48.81805508164924,0.3233333333333235,93.06419657556702,6.69,6.672376755873362,-0.6885804730710695,-1.5258531755733697,2.796532011718061,3.201378744807582,1.5323697778303318,1.6885804730710694
107,0.944923076923077,342.3807692307692,0.03645265918006528,724.227,0.2506120318629488,2344.885695,27.055441478439434,7.53001651,10.0,39.90231404958506,0.9702307692307954,94.21770298098339,6.75,6.8200482050577795,-0.6009980823991361,-1.4382707849014362,2.859874711771286,3.3701216772256553,1.4322546249470638,1.600998082399136
108,0.944923076923077,344.9448717948718,0.048049894701901054,777.317,0.3303430260755697,4863.679627,19.039014373716782,6.177715239,10.0,30.27156383108383,0.5931282051282096,95.23648082735605,6.81,6.959549677371979,-0.48103485721911765,-1.3183075597214178,2.8905981658728077,3.686964960012944,1.2796444617409086,1.4810348572191177
109,0.944923076923077,347.50897435897434,,,,,,,10.0,,,95.11273179386939,6.88,7.027229324976603,,,,,,
110,0.944923076923077,350.0730769230769,,,,,,,10.0,,,95.09676168603924,6.94,7.091892608006796,,,,,,
111,0.944923076923077,352.6371794871795,,,,,,,10.0,,,94.8687953880855,7.0,7.140662018458048,,,,,,
112,0.944923076923077,355.201282051282,,,,,,,10.0,,,94.64219446273432,7.06,7.1893037756284075,,,,,,
113,0.944923076923077,357.7653846153846,,,,,,,10.0,,,94.41451937295078,7.12,7.237633268038432,,,,,,
114,0.944923076923077,360.32948717948716,,,,,,,10.0,,,94.11172951516808,7.19,7.290845115979512,,,,,,
115,0.944923076923077,362.8935897435897,,,,,,,10.0,,,93.86813827821578,7.25,7.337401644388835,,,,,,
116,0.944923076923077,365.4576923076923,,,,,,,10.0,,,93.62356740657563,7.31,7.383625825246175,,,,,,
117,0.944923076923077,368.02179487179484,,,,,,,10.0,,,93.24353932663463,7.38,7.429683872063955,,,,,,
118,0.944923076923077,370.58589743589744,,,,,,,10.0,,,93.04834768592669,7.44,7.479253530502319,,,,,,
119,0.944923076923077,373.15,,,,,,,10.0,,,92.81661920944849,7.5,7.525671827793121,,,,,,
120,0.9503846153846154,273.15,,,,,,,10.0,,,92.19094664016097,7.56,7.539631724357605,,,,,,
121,0.9503846153846154,275.7141025641025,,,,,,,10.0,,,91.57096165780527,7.62,7.5532661596934,,,,,,
122,0.9503846153846154,278.2782051282051,,,,,,,10.0,,,90.83269600514781,7.69,7.566931343078613,,,,,,
123,0.9503846153846154,280.84230769230766,,,,,,,10.0,,,90.23781433028559,7.75,7.5809545914332075,,,,,,
124,0.9503846153846154,283.40641025641025,,,,,,,10.0,,,89.64851741954092,7.81,7.5946948806444805,,,,,,
125,0.9503846153846154,285.9705128205128,,,,,,,10.0,,,89.006172079806,7.88,7.613641293843587,,,,,,
126,0.9503846153846154,288.53461538461534,,,,,,,10.0,,,88.43556658955404,7.94,7.627399508158366,,,,,,
127,0.9503846153846154,291.09871794871793,,,,,,,10.0,,,87.88135006427764,8.0,7.641856527328491,,,,,,
128,0.9503846153846154,293.6628205128205,,,,,,,10.0,,,87.32590307114636,8.06,7.655501182874044,,,,,,
129,0.9503846153846154,296.2269230769231,,,,,,,10.0,,,86.78470430190144,8.12,7.669697419802348,,,,,,
130,0.9503846153846154,298.7910256410256,,,,,,,10.0,,,86.13557304581055,8.19,7.683807245890299,,,,,,
131,0.9503846153846154,301.3551282051282,,,,,,,10.0,,,85.60514891075366,8.25,7.697465705871582,,,,,,
132,0.9503846153846154,303.91923076923075,,,,,,,10.0,,,85.08970072339253,8.31,7.711805136998494,,,,,,
133,0.9503846153846154,306.4833333333333,0.45643153526972524,14.46,3.1379668049793605,3.059514388,123.25256673511308,0.17401254370000002,10.0,3.186776859504023,0.10366666666669744,85.4318707279203,8.38,7.814004329840342,0.4966483450856718,-0.3406243574166284,1.160168292958512,0.4856524998972085,2.0907959722274745,0.5033516549143282
134,0.9503846153846154,309.0474358974359,0.24066576698149034,22.23,1.654577147997746,17.39010907,109.22381930184815,0.7645048731,10.0,6.043840271879316,0.10356410256412119,86.16998247354518,8.44,7.943148231506347,0.2186870218244188,-0.6185856806778814,1.3469394626989906,1.240302305887163,2.0383173587287002,0.7813129781755812
135,0.9503846153846154,311.61153846153843,0.12739867823871792,37.677,0.8758659128911856,734.5288685,39.080082135523526,5.42208274,10.0,11.417272727272312,0.21646153846154448,87.29417095394695,8.5,8.10929456949234,-0.05756237528022833,-0.8948350777825286,1.5760763151581316,2.866008869130869,1.5919554678145744,1.0575623752802283
136,0.9503846153846154,314.175641025641,0.0789991293973599,62.026,0.5431190146068493,948.981079,38.078028747433336,6.625147527,10.0,18.412170686453976,0.02435897435896095,88.30220783492113,8.56,8.266260925928751,-0.26510499228328255,-1.1023776947855828,1.7925737748141537,2.9772575534517283,1.5806744574048872,1.2651049922832824
