,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
963,1.065076923076923,280.84230769230766,0.0007766906625555418,21630.233,0.0106794966101387,9.472704453,1579.1644970167972,9.973371522999999,10.0,936.3737229436814,0.6386923076923381,-1.9714492177748184,-3.1097519159411,4.335061197666982,0.9764739875919479,3.198427371569851,2.9714492177748184
964,1.065076923076923,283.40641025641025,0.0005051401930457463,25537.465,0.006945677654379012,7.183605099,1971.9195450472796,9.976838654,10.0,1439.7443269909513,0.1465897435897432,-2.158285375959451,-3.296588074125732,4.407177784424947,0.8563424500457877,3.294889191611884,3.158285375959451
965,1.065076923076923,285.9705128205128,0.00041146113114701676,32445.349,0.0056575905532714795,5.706652672,2506.0654593289023,9.966100128,10.0,1767.536887980969,0.6314871794871806,-2.2473684861630887,-3.3856711843293703,4.511152450029956,0.7563814405839786,3.398992410733967,3.2473684861630887
966,1.065076923076923,288.53461538461534,0.00032240214292221763,38306.197,0.004433029465180492,4.837365312,3269.604564631523,9.978420001,10.0,2255.793713654652,0.11838461538468437,-2.353299382049917,-3.4916020802161984,4.583269037811905,0.6846088860229356,3.514495231014064,3.353299382049917
967,1.065076923076923,291.09871794871793,0.00024843641034712926,53534.826,0.003416000642273027,2.952280341,5635.177584780262,9.986149797,10.0,2927.399917977164,2.1392820512820663,-2.4664820563274104,-3.604784754493692,4.728636395460717,0.47015759460378426,3.7509076067840588,3.4664820563274104
968,1.065076923076923,293.6628205128205,0.0002429585538338161,56182.422,0.0033406801152149708,2.168742196,6468.628744026897,9.985808031000001,10.0,2993.4024375621807,0.2281794871795455,-2.476165107973982,-3.6144678061402638,4.749600457517076,0.33620792937288113,3.810812226260709,3.476165107973982
969,1.065076923076923,296.2269230769231,0.00021403123776353274,67980.731,0.0029429295192485746,2.485113791,7361.586630946502,9.987641993999999,10.0,3397.974682911646,0.28607692307690513,-2.5312201387729534,-3.6695228369392345,4.8323858302611535,0.39534627945645473,3.8669714272183415,3.5312201387729534
970,1.065076923076923,298.7910256410256,0.00018460273007670365,80443.014,0.002538287538554675,1.90404816,9677.636031352158,9.989799065,10.0,3939.663985308022,0.21497435897435935,-2.5954591823459907,-3.7337618805122723,4.90548833416546,0.27967792900524746,3.9857692845893293,3.5954591823459907
971,1.065076923076923,301.3551282051282,0.00015229725330725622,97506.683,0.002094087232974773,1.297327804,13410.338973843454,9.991668873,10.0,4775.35025405528,0.5078717948717895,-2.679005230961621,-3.8173079291279026,4.989034382781172,0.11304972587659584,4.127439755674801,3.679005230961621
972,1.065076923076923,303.91923076923075,0.00013616358390383798,112364.845,0.001872249278677772,1.070367508,16925.30522300741,9.993443504,10.0,5341.169102792895,0.07376923076924413,-2.727636328062237,-3.8659390262285185,5.050630457046096,0.02953291721141457,4.2285365092905725,3.727636328062237
973,1.065076923076923,306.4833333333333,0.00012060711753556893,132662.154,0.0016583478661140727,0.9388093264,20413.313350940214,9.994017348,10.0,6030.097909091005,0.11466666666672154,-2.780324363721038,-3.918627061887319,5.122747044543237,-0.027422604646584112,4.309913502180141,3.780324363721038
974,1.065076923076923,309.0474358974359,0.00010193551425111193,160886.028,0.001401613320952789,0.6707900261,28285.18767380132,9.995588395999999,10.0,7134.635388027134,0.6795641025640862,-2.8533717836154935,-3.9916744817817746,5.206518329829441,-0.17341340349280931,4.451559064654152,3.8533717836154935
975,1.065076923076923,311.61153846153843,8.964770101082769e-05,185727.016,0.0012326558888988808,0.5305430861,35587.42655517037,9.996258538,10.0,8112.5641714435815,0.4884615384615927,-2.909158145148163,-4.047460843314444,5.268875081156814,-0.27527934070582455,4.551296583865102,3.909158145148163
976,1.065076923076923,314.175641025641,7.896152936353652e-05,214028.276,0.001085721028748627,0.4339161236,44478.360815022956,9.996823216000001,10.0,9210.469112425437,0.3043589743589905,-2.964281750473652,-4.102584448639933,5.330471153253635,-0.3625942119117924,4.648148773580566,3.964281750473652
977,1.065076923076923,316.73974358974357,6.77158709809031e-05,253264.113,0.0009310932259874175,0.3622993466,55703.671682398395,9.996963535,10.0,10740.063100980113,0.6002564102564065,-3.031006832976848,-4.16930953114313,5.4035736555219405,-0.4409324492066179,4.745883822442138,4.031006832976848
978,1.065076923076923,319.30384615384617,5.944697408545741e-05,291856.739,0.0008173958936750393,0.2900907405,70479.61917410299,9.997483747,10.0,12233.973864291956,0.4841538461538448,-3.0875675483698997,-4.225870246536181,5.465169725663051,-0.5374661333618788,4.848063548766187,4.0875675483699
979,1.065076923076923,321.8679487179487,5.182337064865131e-05,337685.484,0.0007125713464189555,0.2309750505,90098.09769817261,9.997966511000001,10.0,14033.68245194708,0.46505128205131996,-3.1471716452776346,-4.285474343443916,5.52851239213024,-0.6364349292652877,4.954715621523923,4.147171645277634
980,1.065076923076923,324.43205128205125,4.548464439818287e-05,389142.319,0.0006254138604750144,0.1786251093,117241.01896450834,9.998380236000001,10.0,15989.412182846088,0.399948717948746,-3.203832498115292,-4.342135196281573,5.590108462643362,-0.7480574924578112,5.069079584320647,4.2038324981152915
